Team,1,2,3,4,5,6,7,8,9,R,H,E,Game,10,11,12,13,14,15,16,17,18,19
KC,0,0,1,1,1,2,0,0,0,5,15,0,360625107,,,,,,,,,,
NYM,0,0,0,0,0,0,0,0,0,1,8,0,360625115,0.0,1.0,,,,,,,,
ATL,0,0,0,0,0,0,0,0,0,0,9,0,360625115,0.0,0.0,,,,,,,,
LAD,0,0,0,0,0,1,0,0,0,1,8,1,360625123,,,,,,,,,,
PIT,0,0,0,1,0,5,0,0,-,6,5,1,360625123,,,,,,,,,,
BOS,0,1,0,0,1,1,0,0,0,3,7,2,360625113,,,,,,,,,,
TEX,0,0,0,3,5,0,2,0,-,10,11,0,360625113,,,,,,,,,,
OAK,2,0,1,0,1,3,0,0,0,7,12,0,360625103,,,,,,,,,,
LAA,2,0,0,0,1,0,0,0,0,3,13,0,360625103,,,,,,,,,,
PHI,0,0,0,0,0,0,3,0,0,3,6,1,360625126,,,,,,,,,,
SF,0,1,1,0,0,0,0,0,0,2,6,1,360625126,,,,,,,,,,
STL,0,0,1,0,3,0,0,0,0,4,8,1,360625112,,,,,,,,,,
SEA,3,2,0,0,0,0,0,0,-,5,10,1,360625112,,,,,,,,,,
MIN,0,0,1,0,0,4,1,0,1,7,8,0,360626110,,,,,,,,,,
NYY,0,0,0,0,0,0,0,1,0,1,2,0,360626110,,,,,,,,,,
CLE,0,0,0,2,6,0,0,1,0,9,13,0,360626106,,,,,,,,,,
DET,0,0,1,1,0,1,0,0,0,3,6,0,360626106,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,5,0,360626117,,,,,,,,,,
CIN,0,1,0,1,0,1,0,0,-,3,9,0,360626117,,,,,,,,,,
CHC,0,0,1,0,0,0,0,0,0,1,5,1,360626128,,,,,,,,,,
MIA,0,1,0,0,0,1,1,3,-,6,9,0,360626128,,,,,,,,,,
TB,0,1,0,1,3,0,0,0,0,5,12,0,360626101,,,,,,,,,,
BAL,4,1,1,0,2,0,0,4,-,12,17,0,360626101,,,,,,,,,,
NYM,0,0,0,0,0,0,0,0,2,2,7,1,360626115,,,,,,,,,,
ATL,1,0,0,0,0,0,0,4,-,5,10,1,360626115,,,,,,,,,,
TOR,0,0,0,0,0,0,0,2,0,2,5,1,360626104,,,,,,,,,,
CHW,0,0,2,0,2,0,0,1,-,5,8,0,360626104,,,,,,,,,,
WSH,0,0,0,0,0,0,1,2,0,3,4,0,360626108,,,,,,,,,,
MIL,0,0,0,0,0,0,0,1,1,2,11,1,360626108,,,,,,,,,,
HOU,0,0,0,0,0,1,0,0,0,1,4,0,360626107,,,,,,,,,,
KC,0,0,0,1,0,0,5,0,-,6,13,0,360626107,,,,,,,,,,
BOS,0,0,0,0,0,1,0,1,0,2,8,1,360626113,,,,,,,,,,
TEX,3,0,0,0,0,2,1,0,-,6,10,0,360626113,,,,,,,,,,
OAK,0,1,0,5,0,0,0,0,0,6,9,0,360626103,,,,,,,,,,
LAA,2,0,0,0,0,0,2,2,1,7,13,0,360626103,,,,,,,,,,
PHI,1,0,0,2,2,0,1,1,0,7,12,1,360626126,,,,,,,,,,
SF,1,0,4,0,0,1,1,0,1,8,16,0,360626126,,,,,,,,,,
STL,1,0,0,0,4,1,2,1,2,11,17,0,360626112,,,,,,,,,,
SEA,1,1,1,0,0,3,0,0,0,6,12,1,360626112,,,,,,,,,,
ARI,2,1,0,2,0,2,0,0,0,7,15,1,360626127,,,,,,,,,,
COL,0,0,1,1,4,0,1,0,2,9,11,0,360626127,,,,,,,,,,
LAD,0,0,2,0,1,0,0,0,0,3,4,0,360626123,,,,,,,,,,
PIT,0,4,0,0,0,0,0,0,-,4,9,0,360626123,,,,,,,,,,
LAD,0,0,1,0,4,0,0,0,0,5,7,0,360627123,,,,,,,,,,
PIT,4,0,0,0,0,0,0,0,0,4,5,1,360627123,,,,,,,,,,
TEX,1,0,1,2,0,0,0,1,4,9,9,0,360627110,,,,,,,,,,
NYY,0,2,1,0,2,0,1,0,0,6,16,1,360627110,,,,,,,,,,
NYM,1,1,2,0,0,0,0,0,0,4,14,0,360627120,,,,,,,,,,
WSH,0,0,5,1,4,1,0,0,-,11,17,0,360627120,,,,,,,,,,
CLE,1,0,0,3,0,0,1,2,1,8,14,0,360627115,,,,,,,,,,
ATL,0,0,1,1,0,0,0,0,1,3,8,2,360627115,,,,,,,,,,
CHC,2,0,1,4,1,0,0,2,1,11,17,1,360627117,,,,,,,,,,
CIN,2,0,1,0,2,1,1,0,1,8,8,1,360627117,,,,,,,,,,
BOS,0,0,0,2,1,1,0,2,1,7,12,2,360627130,,,,,,,,,,
TB,5,0,4,0,1,0,2,1,-,13,18,0,360627130,,,,,,,,,,
STL,2,0,0,0,0,0,0,0,0,2,6,1,360627107,,,,,,,,,,
KC,2,4,0,0,0,0,0,0,-,6,12,0,360627107,,,,,,,,,,
TOR,1,0,0,0,0,3,0,0,1,5,6,0,360627127,,,,,,,,,,
COL,0,0,0,0,0,3,6,0,-,9,10,0,360627127,,,,,,,,,,
PHI,0,0,0,0,0,2,6,0,0,8,16,1,360627129,,,,,,,,,,
ARI,0,0,0,0,0,0,0,0,0,0,7,0,360627129,,,,,,,,,,
HOU,0,0,0,0,0,0,2,0,2,4,11,0,360627103,,,,,,,,,,
LAA,0,0,0,1,0,1,0,0,0,2,9,1,360627103,,,,,,,,,,
OAK,0,5,0,0,0,1,2,0,0,8,12,0,360627126,,,,,,,,,,
SF,0,0,0,0,0,0,0,2,1,3,7,0,360627126,,,,,,,,,,
TEX,2,0,0,0,0,0,0,5,0,7,11,0,360628110,,,,,,,,,,
NYY,0,0,0,0,0,0,0,1,0,1,8,0,360628110,,,,,,,,,,
NYM,0,0,0,0,0,0,0,0,0,0,5,0,360628120,,,,,,,,,,
WSH,0,1,0,0,2,0,2,0,-,5,7,0,360628120,,,,,,,,,,
MIA,0,2,0,0,1,1,0,1,0,5,16,0,360628106,,,,,,,,,,
DET,0,0,0,0,7,0,0,0,-,7,9,3,360628106,,,,,,,,,,
CLE,2,0,0,0,0,0,0,0,3,5,9,0,360628115,,,,,,,,,,
ATL,0,0,0,0,0,2,0,0,1,3,5,1,360628115,,,,,,,,,,
CHC,1,0,0,0,1,0,0,0,0,7,9,1,360628117,0.0,0.0,0.0,0.0,0.0,5.0,,,,
CIN,0,0,0,0,0,0,0,1,1,2,8,1,360628117,0.0,0.0,0.0,0.0,0.0,0.0,,,,
BOS,0,1,1,0,1,0,3,0,2,8,11,0,360628130,,,,,,,,,,
TB,0,0,0,1,0,0,1,0,0,2,6,0,360628130,,,,,,,,,,
MIN,0,1,0,0,0,3,0,0,0,4,7,1,360628104,,,,,,,,,,
CHW,0,0,0,0,0,0,0,0,0,0,6,0,360628104,,,,,,,,,,
LAD,0,2,0,3,1,0,0,0,0,6,12,1,360628108,,,,,,,,,,
MIL,0,0,2,0,0,0,0,3,0,5,4,2,360628108,,,,,,,,,,
STL,0,3,0,0,2,3,0,0,0,8,9,1,360628107,,,,,,,,,,
KC,0,2,0,0,0,2,0,0,0,4,11,1,360628107,,,,,,,,,,
TOR,0,0,1,6,1,3,1,1,1,14,18,1,360628127,,,,,,,,,,
COL,1,0,3,1,0,0,4,0,0,9,14,4,360628127,,,,,,,,,,
PHI,0,1,0,0,1,0,0,0,2,4,11,0,360628129,,,,,,,,,,
ARI,0,1,0,0,0,1,1,0,0,3,10,0,360628129,,,,,,,,,,
HOU,3,0,0,1,1,0,1,1,0,7,12,1,360628103,,,,,,,,,,
LAA,0,0,1,0,0,0,0,0,0,1,8,1,360628103,,,,,,,,,,
PIT,0,0,0,0,0,0,2,0,0,2,7,1,360628112,,,,,,,,,,
SEA,0,0,1,1,3,0,0,0,-,5,12,0,360628112,,,,,,,,,,
BAL,1,0,0,1,2,7,0,0,0,11,17,1,360628125,,,,,,,,,,
SD,1,0,0,0,0,0,3,0,3,7,8,1,360628125,,,,,,,,,,
OAK,0,0,0,1,0,4,0,5,3,13,12,0,360628126,,,,,,,,,,
SF,0,0,2,2,0,4,0,1,2,11,18,1,360628126,,,,,,,,,,
BOS,0,0,0,0,0,0,0,0,0,0,5,0,360629130,,,,,,,,,,
TB,0,1,3,0,0,0,0,0,-,4,9,1,360629130,,,,,,,,,,
CHC,3,0,2,2,0,0,2,0,0,9,12,0,360629117,,,,,,,,,,
CIN,0,0,0,2,0,0,0,0,0,2,9,0,360629117,,,,,,,,,,
MIA,0,2,0,0,0,0,1,0,0,3,14,0,360629106,,,,,,,,,,
DET,4,1,0,1,2,0,0,2,-,10,15,0,360629106,,,,,,,,,,
TOR,0,1,2,0,0,0,1,0,1,5,11,0,360629127,,,,,,,,,,
COL,0,0,0,1,0,0,0,0,2,3,9,1,360629127,,,,,,,,,,
HOU,1,0,2,0,2,1,1,0,3,10,12,1,360629103,,,,,,,,,,
LAA,0,2,0,0,1,0,0,1,0,4,11,2,360629103,,,,,,,,,,
BAL,0,0,0,4,2,1,0,0,5,12,12,0,360629125,,,,,,,,,,
SD,0,0,0,0,0,3,0,0,3,6,8,1,360629125,,,,,,,,,,
PHI,2,0,0,0,1,0,1,4,0,9,17,2,360629129,1.0,,,,,,,,,
ARI,3,1,0,0,0,0,3,1,0,8,15,1,360629129,0.0,,,,,,,,,
NYM,0,0,0,0,0,0,0,0,2,2,6,1,360629120,,,,,,,,,,
WSH,0,1,1,0,0,0,0,2,-,4,5,0,360629120,,,,,,,,,,
TEX,0,1,4,0,0,1,0,1,0,7,9,1,360629110,,,,,,,,,,
NYY,0,1,0,0,0,1,0,1,6,9,10,2,360629110,,,,,,,,,,
CLE,0,0,0,0,2,1,0,0,0,3,8,0,360629115,,,,,,,,,,
ATL,0,0,0,0,0,0,0,0,0,0,7,1,360629115,,,,,,,,,,
MIN,1,0,0,0,0,0,0,0,5,6,11,1,360629104,,,,,,,,,,
CHW,0,2,0,0,1,5,1,0,-,9,13,1,360629104,,,,,,,,,,
LAD,0,0,0,0,0,0,0,0,0,0,2,1,360629108,,,,,,,,,,
MIL,0,5,0,0,0,0,2,0,-,7,12,0,360629108,,,,,,,,,,
KC,0,0,0,0,0,0,0,1,0,3,14,0,360629124,1.0,0.0,1.0,,,,,,,
STL,0,0,0,0,0,0,0,0,1,2,10,3,360629124,1.0,0.0,0.0,,,,,,,
SF,0,0,0,0,0,0,0,1,0,1,8,2,360629111,,,,,,,,,,
OAK,0,0,3,4,0,0,0,0,-,7,7,0,360629111,,,,,,,,,,
PIT,0,3,0,2,3,0,0,0,0,8,11,0,360629112,,,,,,,,,,
SEA,0,0,0,0,1,0,0,0,0,1,6,3,360629112,,,,,,,,,,
TEX,1,0,0,0,0,0,0,0,0,1,4,0,360630110,,,,,,,,,,
NYY,0,0,0,0,1,0,0,0,1,2,5,0,360630110,,,,,,,,,,
MIN,0,0,0,2,0,2,1,0,0,5,8,1,360630104,,,,,,,,,,
CHW,0,1,1,3,0,0,0,1,-,6,12,0,360630104,,,,,,,,,,
LAD,0,2,0,1,3,2,0,0,0,8,14,2,360630108,,,,,,,,,,
MIL,1,0,0,0,0,0,0,0,0,1,4,0,360630108,,,,,,,,,,
CIN,1,0,0,0,0,3,0,0,0,4,9,0,360630120,,,,,,,,,,
WSH,4,0,4,5,0,0,0,0,-,13,11,0,360630120,,,,,,,,,,
CLE,0,1,1,0,0,1,0,0,1,4,10,0,360630114,,,,,,,,,,
TOR,0,0,0,1,0,0,0,0,0,1,3,0,360630114,,,,,,,,,,
MIA,0,3,0,0,0,0,0,1,1,5,7,1,360630115,,,,,,,,,,
ATL,0,0,2,0,0,4,1,1,-,8,14,1,360630115,,,,,,,,,,
CHC,2,0,0,0,0,1,0,0,0,3,9,1,360630121,,,,,,,,,,
NYM,0,0,0,0,0,1,3,0,-,4,6,0,360630121,,,,,,,,,,
DET,0,0,0,0,0,2,0,0,8,10,11,1,360630130,,,,,,,,,,
TB,1,0,4,0,0,0,0,2,0,7,14,0,360630130,,,,,,,,,,
KC,1,1,0,0,0,1,0,1,0,4,7,0,360630124,,,,,,,,,,
STL,0,0,0,1,0,1,0,0,0,2,3,3,360630124,,,,,,,,,,
SF,0,0,6,2,0,0,0,0,4,12,14,1,360630111,,,,,,,,,,
OAK,1,0,0,1,0,0,2,0,2,6,10,0,360630111,,,,,,,,,,
BAL,0,0,0,0,0,0,1,2,0,3,8,1,360630112,,,,,,,,,,
SEA,1,0,0,0,3,0,1,0,-,5,9,0,360630112,,,,,,,,,,
CLE,0,0,1,0,0,0,0,0,0,2,15,0,360701114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TOR,0,0,0,0,0,1,0,0,0,1,11,2,360701114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIN,0,1,0,0,0,1,0,0,0,2,11,0,360701120,0.0,0.0,0.0,0.0,0.0,,,,,
WSH,1,0,0,0,0,1,0,0,0,3,10,0,360701120,0.0,0.0,0.0,0.0,1.0,,,,,
KC,0,1,0,0,0,0,0,2,0,3,8,2,360701122,,,,,,,,,,
PHI,1,0,1,0,1,1,0,0,-,4,12,0,360701122,,,,,,,,,,
LAA,0,0,0,0,0,4,0,0,0,4,12,0,360701102,,,,,,,,,,
BOS,1,0,0,1,3,0,0,0,-,5,16,0,360701102,,,,,,,,,,
CHC,0,0,0,1,0,0,1,0,0,2,6,0,360701121,,,,,,,,,,
NYM,0,2,2,3,3,0,0,0,-,10,12,0,360701121,,,,,,,,,,
DET,0,0,0,1,2,0,4,0,3,10,14,0,360701130,,,,,,,,,,
TB,0,0,0,0,0,0,0,0,2,2,4,2,360701130,,,,,,,,,,
MIA,3,0,0,0,0,0,2,0,0,7,17,1,360701115,0.0,0.0,2.0,,,,,,,
ATL,0,2,0,0,2,0,0,0,1,5,11,0,360701115,0.0,0.0,0.0,,,,,,,
TEX,0,0,0,0,0,0,2,0,0,3,8,0,360701109,1.0,,,,,,,,,
MIN,0,0,0,0,0,0,2,0,0,2,7,0,360701109,0.0,,,,,,,,,
CHW,0,0,0,0,0,0,0,0,0,0,5,1,360701118,,,,,,,,,,
HOU,0,0,0,1,0,0,2,2,-,5,6,0,360701118,,,,,,,,,,
MIL,0,1,0,0,0,0,0,0,0,1,4,2,360701124,,,,,,,,,,
STL,1,0,0,5,0,1,0,0,-,7,11,2,360701124,,,,,,,,,,
SF,0,1,0,2,0,2,0,1,0,6,10,1,360701129,,,,,,,,,,
ARI,3,0,1,0,0,0,0,0,0,4,9,0,360701129,,,,,,,,,,
PIT,0,0,1,1,2,3,0,0,0,7,8,1,360701111,,,,,,,,,,
OAK,2,1,0,0,0,0,0,0,0,3,4,0,360701111,,,,,,,,,,
BAL,0,1,1,0,0,0,0,0,0,2,5,0,360701112,,,,,,,,,,
SEA,1,0,0,0,0,2,0,2,-,5,10,1,360701112,,,,,,,,,,
COL,0,0,0,0,0,0,0,0,0,0,3,0,360701119,,,,,,,,,,
LAD,0,0,0,1,0,0,1,3,-,5,9,0,360701119,,,,,,,,,,
NYY,0,1,0,0,0,1,0,0,4,6,7,1,360701125,,,,,,,,,,
SD,3,1,0,0,2,0,1,0,-,7,8,1,360701125,,,,,,,,,,
CLE,1,0,1,1,0,1,2,0,0,6,10,1,360702114,,,,,,,,,,
TOR,3,0,0,0,2,0,1,3,-,9,12,0,360702114,,,,,,,,,,
TEX,0,1,0,3,0,0,1,0,0,5,10,1,360702109,,,,,,,,,,
MIN,4,3,4,0,6,0,0,0,-,17,13,0,360702109,,,,,,,,,,
MIL,0,0,0,0,0,0,0,0,0,0,7,0,360702124,,,,,,,,,,
STL,0,0,0,3,0,0,0,0,-,3,8,0,360702124,,,,,,,,,,
MIA,0,0,1,0,0,0,0,0,0,1,7,1,360702115,,,,,,,,,,
ATL,2,0,0,0,0,7,0,0,-,9,9,0,360702115,,,,,,,,,,
CHW,0,2,0,1,2,0,0,2,0,7,13,1,360702118,,,,,,,,,,
HOU,1,0,3,0,0,0,0,1,1,6,7,0,360702118,,,,,,,,,,
DET,0,1,0,0,1,1,0,0,0,3,5,1,360702130,,,,,,,,,,
TB,0,0,0,1,0,1,0,0,0,2,5,1,360702130,,,,,,,,,,
KC,0,5,0,0,0,0,0,1,0,6,10,0,360702122,,,,,,,,,,
PHI,1,0,0,0,0,0,0,0,1,2,7,1,360702122,,,,,,,,,,
LAA,2,1,0,1,5,0,11,1,0,21,22,1,360702102,,,,,,,,,,
BOS,0,0,0,0,1,0,1,0,0,2,8,4,360702102,,,,,,,,,,
CIN,3,1,0,0,0,0,0,0,0,9,14,1,360702120,5.0,,,,,,,,,
WSH,0,0,1,0,0,0,0,3,0,4,3,2,360702120,0.0,,,,,,,,,
CHC,0,0,0,2,0,0,1,0,0,3,6,0,360702121,,,,,,,,,,
NYM,2,0,0,2,0,0,0,0,-,4,8,1,360702121,,,,,,,,,,
PIT,0,0,0,2,0,0,0,0,0,4,9,0,360702111,2.0,,,,,,,,,
OAK,0,0,2,0,0,0,0,0,0,2,11,0,360702111,0.0,,,,,,,,,
BAL,0,0,0,1,1,2,2,0,0,6,12,0,360702112,,,,,,,,,,
SEA,3,2,0,3,1,3,0,0,-,12,16,1,360702112,,,,,,,,,,
COL,0,0,0,0,0,0,0,0,1,1,5,1,360702119,,,,,,,,,,
LAD,2,0,2,0,0,0,2,0,-,6,10,0,360702119,,,,,,,,,,
NYY,0,0,0,0,0,1,0,0,0,1,6,0,360702125,,,,,,,,,,
SD,0,0,0,0,0,1,0,0,1,2,7,0,360702125,,,,,,,,,,
SF,0,3,0,2,0,0,0,0,0,5,7,0,360702129,,,,,,,,,,
ARI,0,0,1,2,0,0,0,3,-,6,9,1,360702129,,,,,,,,,,
CLE,0,0,0,0,0,0,1,0,0,1,5,2,360703114,,,,,,,,,,
TOR,3,0,0,2,0,8,0,4,-,17,18,0,360703114,,,,,,,,,,
CHC,1,0,0,0,0,0,0,0,2,3,11,0,360703121,,,,,,,,,,
NYM,1,7,0,1,2,0,2,1,-,14,22,1,360703121,,,,,,,,,,
DET,0,0,0,0,0,0,0,3,2,5,8,0,360703130,,,,,,,,,,
TB,0,0,0,0,1,0,0,0,0,1,6,0,360703130,,,,,,,,,,
LAA,0,0,0,0,0,3,2,0,0,5,10,1,360703102,,,,,,,,,,
BOS,0,0,0,0,7,0,3,0,-,10,16,0,360703102,,,,,,,,,,
CIN,0,0,0,0,0,0,0,1,0,1,3,0,360703120,,,,,,,,,,
WSH,0,1,0,4,3,1,2,1,-,12,15,0,360703120,,,,,,,,,,
KC,0,0,0,0,2,0,0,0,0,2,7,0,360703122,,,,,,,,,,
PHI,3,0,1,0,1,0,0,2,-,7,11,0,360703122,,,,,,,,,,
TEX,1,0,0,0,1,0,2,0,0,4,8,1,360703109,,,,,,,,,,
MIN,0,0,3,0,2,0,0,0,-,5,11,1,360703109,,,,,,,,,,
CHW,0,0,2,0,0,0,0,2,0,4,9,0,360703118,,,,,,,,,,
HOU,1,0,0,0,0,0,0,0,0,1,3,0,360703118,,,,,,,,,,
MIL,0,0,0,2,0,0,2,0,4,8,16,1,360703124,,,,,,,,,,
STL,1,0,0,1,2,4,1,0,-,9,11,0,360703124,,,,,,,,,,
PIT,0,0,0,0,2,2,0,2,0,6,11,0,360703111,,,,,,,,,,
OAK,0,2,0,0,1,0,0,0,0,3,10,0,360703111,,,,,,,,,,
BAL,0,0,0,3,0,0,1,0,0,4,12,1,360703112,,,,,,,,,,
SEA,0,0,4,2,0,0,3,0,-,9,10,1,360703112,,,,,,,,,,
COL,0,0,0,0,0,0,1,0,0,1,4,0,360703119,,,,,,,,,,
LAD,0,3,0,0,0,0,1,0,-,4,7,0,360703119,,,,,,,,,,
SF,0,0,2,2,0,0,0,0,0,5,9,1,360703129,0.0,1.0,,,,,,,,
ARI,0,1,0,0,0,1,0,2,0,4,9,0,360703129,0.0,0.0,,,,,,,,
NYY,0,1,0,1,0,0,0,1,3,6,10,0,360703125,,,,,,,,,,
SD,0,1,0,0,0,0,0,0,2,3,8,1,360703125,,,,,,,,,,
MIA,0,0,0,0,2,0,1,1,1,5,13,1,360703115,,,,,,,,,,
ATL,0,0,0,0,0,0,0,0,2,2,5,0,360703115,,,,,,,,,,
MIL,0,0,0,0,1,0,0,0,0,1,5,1,360704120,,,,,,,,,,
WSH,0,0,0,0,0,0,0,0,0,0,2,1,360704120,,,,,,,,,,
LAA,0,0,0,1,0,1,0,0,0,2,8,0,360704130,,,,,,,,,,
TB,0,0,1,1,0,2,0,0,-,4,7,1,360704130,,,,,,,,,,
TEX,4,0,0,0,0,0,0,1,0,5,16,0,360704102,,,,,,,,,,
BOS,1,0,4,0,1,2,1,3,-,12,21,2,360704102,,,,,,,,,,
NYY,0,2,0,0,0,0,0,0,0,2,8,3,360704104,,,,,,,,,,
CHW,0,0,2,0,3,0,1,2,-,8,13,4,360704104,,,,,,,,,,
OAK,0,0,0,0,0,0,3,0,0,3,7,0,360704109,,,,,,,,,,
MIN,0,0,0,1,0,0,0,0,0,1,4,1,360704109,,,,,,,,,,
SEA,0,1,0,0,0,0,0,0,0,1,5,0,360704118,,,,,,,,,,
HOU,1,0,0,0,1,0,0,0,-,2,8,0,360704118,,,,,,,,,,
PIT,0,0,0,0,0,2,1,1,0,4,11,0,360704124,,,,,,,,,,
STL,0,0,0,0,1,0,0,0,1,2,10,1,360704124,,,,,,,,,,
CIN,0,0,0,0,0,1,3,0,0,4,9,2,360704116,,,,,,,,,,
CHC,3,3,0,2,0,2,0,0,-,10,12,1,360704116,,,,,,,,,,
COL,0,1,0,0,0,0,0,0,0,1,6,1,360704126,,,,,,,,,,
SF,0,1,2,0,0,0,0,0,-,3,5,0,360704126,,,,,,,,,,
ATL,1,0,0,0,0,0,0,1,0,2,6,1,360704122,,,,,,,,,,
PHI,0,7,0,0,0,0,1,0,-,8,12,1,360704122,,,,,,,,,,
MIA,0,3,0,3,0,0,0,0,0,6,17,0,360704121,,,,,,,,,,
NYM,0,0,0,1,1,2,2,2,-,8,13,2,360704121,,,,,,,,,,
DET,0,0,0,0,1,2,0,0,0,3,9,0,360704105,,,,,,,,,,
CLE,0,1,1,0,1,0,2,0,-,5,8,0,360704105,,,,,,,,,,
KC,0,0,0,0,0,0,1,0,1,2,4,0,360704114,,,,,,,,,,
TOR,1,0,0,0,0,0,5,0,-,6,6,0,360704114,,,,,,,,,,
BAL,0,3,0,2,0,0,0,0,0,5,8,0,360704119,,,,,,,,,,
LAD,0,2,0,2,0,1,1,1,-,7,9,0,360704119,,,,,,,,,,
SD,0,0,0,2,0,3,0,3,0,8,9,1,360704129,,,,,,,,,,
ARI,2,0,0,0,1,0,0,1,0,4,11,0,360704129,,,,,,,,,,
CIN,2,2,1,1,0,0,1,0,2,9,10,0,360705116,,,,,,,,,,
CHC,0,0,4,0,1,0,0,0,0,5,7,2,360705116,,,,,,,,,,
MIL,0,0,1,0,0,2,2,0,0,5,10,0,360705120,,,,,,,,,,
WSH,0,1,0,0,0,0,1,0,0,2,12,1,360705120,,,,,,,,,,
ATL,0,0,0,0,0,0,1,0,0,1,6,1,360705122,,,,,,,,,,
PHI,1,0,0,2,0,2,0,0,-,5,8,0,360705122,,,,,,,,,,
KC,0,0,0,2,0,0,0,0,1,3,7,1,360705114,,,,,,,,,,
TOR,1,0,5,1,0,0,1,0,-,8,13,0,360705114,,,,,,,,,,
TEX,2,0,0,0,0,1,0,0,4,7,11,0,360705102,,,,,,,,,,
BOS,0,1,0,1,0,0,0,0,0,2,11,0,360705102,,,,,,,,,,
DET,0,0,0,0,0,1,0,0,0,1,4,0,360705105,,,,,,,,,,
CLE,0,2,0,2,3,3,0,2,-,12,13,0,360705105,,,,,,,,,,
MIA,0,0,0,0,0,0,2,3,0,5,9,0,360705121,,,,,,,,,,
NYM,0,0,0,1,0,0,0,1,0,2,4,0,360705121,,,,,,,,,,
LAA,0,4,0,0,0,3,0,0,6,13,16,2,360705130,,,,,,,,,,
TB,1,0,2,0,2,0,0,0,0,5,14,1,360705130,,,,,,,,,,
PIT,0,0,0,0,2,3,0,0,0,5,11,1,360705124,,,,,,,,,,
STL,0,1,1,0,0,0,0,0,0,2,6,1,360705124,,,,,,,,,,
NYY,0,2,2,1,1,0,0,2,1,9,20,0,360705104,,,,,,,,,,
CHW,0,0,0,0,0,0,0,0,0,0,6,2,360705104,,,,,,,,,,
OAK,0,1,0,0,0,0,0,3,0,4,8,0,360705109,,,,,,,,,,
MIN,0,1,0,2,3,1,0,4,-,11,12,1,360705109,,,,,,,,,,
SEA,0,1,0,1,0,0,0,0,0,2,7,1,360705118,,,,,,,,,,
HOU,0,1,0,4,0,0,0,0,-,5,7,1,360705118,,,,,,,,,,
SD,0,0,2,0,2,0,0,0,1,5,12,0,360705129,,,,,,,,,,
ARI,0,0,4,0,1,0,2,0,-,7,10,0,360705129,,,,,,,,,,
BAL,0,1,0,0,3,0,0,0,0,4,9,0,360705119,,,,,,,,,,
LAD,1,0,0,0,0,0,0,0,0,1,6,1,360705119,,,,,,,,,,
COL,0,0,0,0,0,0,4,3,0,7,13,1,360705126,,,,,,,,,,
SF,1,0,0,0,1,0,0,1,0,3,6,0,360705126,,,,,,,,,,
DET,0,0,0,3,5,0,4,0,0,12,12,1,360706105,,,,,,,,,,
CLE,0,1,1,0,0,0,0,0,0,2,7,1,360706105,,,,,,,,,,
ATL,0,0,1,0,0,1,0,1,0,3,7,0,360706122,,,,,,,,,,
PHI,0,0,0,0,1,1,0,2,-,4,9,2,360706122,,,,,,,,,,
OAK,0,0,0,0,0,0,0,0,0,0,2,0,360706109,,,,,,,,,,
MIN,0,0,0,0,1,0,2,1,-,4,10,1,360706109,,,,,,,,,,
MIA,0,0,0,1,0,1,0,0,0,2,7,1,360706121,,,,,,,,,,
NYM,0,1,2,1,0,0,0,0,-,4,6,0,360706121,,,,,,,,,,
CIN,1,0,0,0,0,0,3,1,0,5,8,0,360706116,,,,,,,,,,
CHC,0,2,0,0,1,0,0,0,0,3,8,0,360706116,,,,,,,,,,
BAL,0,1,1,1,0,1,0,0,0,6,13,0,360706119,0.0,0.0,0.0,0.0,2.0,,,,,
LAD,2,0,0,0,2,0,0,0,0,4,16,0,360706119,0.0,0.0,0.0,0.0,0.0,,,,,
MIL,0,0,4,0,0,0,0,0,0,4,8,0,360706120,,,,,,,,,,
WSH,3,1,1,0,2,0,0,0,-,7,10,1,360706120,,,,,,,,,,
TEX,0,1,0,0,0,2,3,0,0,6,10,3,360706102,,,,,,,,,,
BOS,2,5,2,2,0,0,0,0,-,11,10,1,360706102,,,,,,,,,,
KC,0,0,0,0,0,1,0,1,0,2,4,0,360706114,,,,,,,,,,
TOR,0,0,0,1,1,0,0,2,-,4,8,0,360706114,,,,,,,,,,
LAA,0,0,4,2,1,0,0,0,0,7,9,0,360706130,,,,,,,,,,
TB,0,0,0,0,0,1,0,1,0,2,9,3,360706130,,,,,,,,,,
NYY,0,0,0,0,0,0,0,0,0,0,8,0,360706104,,,,,,,,,,
CHW,0,4,0,0,0,1,0,0,-,5,5,0,360706104,,,,,,,,,,
SEA,0,0,0,4,0,0,3,0,1,8,10,3,360706118,,,,,,,,,,
HOU,3,1,1,0,0,2,0,2,-,9,12,0,360706118,,,,,,,,,,
PIT,1,0,0,0,1,2,3,0,0,7,9,0,360706124,,,,,,,,,,
STL,0,0,1,4,0,0,0,0,0,5,12,1,360706124,,,,,,,,,,
SD,0,0,0,5,1,0,3,0,4,13,14,0,360706129,,,,,,,,,,
ARI,1,0,3,0,0,0,0,0,2,6,12,0,360706129,,,,,,,,,,
COL,0,0,0,1,0,0,0,0,0,1,5,0,360706126,,,,,,,,,,
SF,2,0,0,0,0,1,0,2,-,5,9,0,360706126,,,,,,,,,,
LAA,0,0,0,0,0,2,0,2,1,5,8,0,360707130,,,,,,,,,,
