Team,1,2,3,4,5,6,7,8,9,R,H,E,Game,10,11,12,13,14,15,16,17,18,19
CHW,0,0,1,0,0,0,0,0,0,1,6,0,360406111,,,,,,,,,,
OAK,1,1,0,0,0,0,0,0,-,2,7,0,360406111,,,,,,,,,,
PHI,0,0,1,1,2,0,0,2,0,6,9,1,360407117,,,,,,,,,,
CIN,0,0,1,8,0,0,1,0,-,10,12,1,360407117,,,,,,,,,,
CHW,0,0,0,0,0,2,0,0,4,6,10,1,360407111,,,,,,,,,,
OAK,0,0,0,0,0,0,0,0,1,1,4,2,360407111,,,,,,,,,,
HOU,0,3,0,2,0,0,0,0,0,5,9,1,360407110,,,,,,,,,,
NYY,0,1,1,2,1,0,3,0,-,8,12,0,360407110,,,,,,,,,,
MIA,3,0,1,0,1,0,1,0,0,6,13,1,360407120,,,,,,,,,,
WSH,3,0,0,0,0,0,1,0,0,4,6,1,360407120,,,,,,,,,,
LAD,0,2,1,0,1,0,0,2,0,6,13,1,360407126,,,,,,,,,,
SF,0,0,0,0,3,4,0,5,-,12,17,0,360407126,,,,,,,,,,
MIN,1,1,0,0,0,0,0,0,0,2,9,0,360407101,,,,,,,,,,
BAL,0,0,0,0,0,1,2,1,-,4,8,1,360407101,,,,,,,,,,
CHC,0,2,2,5,0,0,1,0,4,14,14,0,360407129,,,,,,,,,,
ARI,3,1,2,0,0,0,0,0,0,6,8,2,360407129,,,,,,,,,,
TEX,1,0,1,0,0,0,1,0,0,3,4,0,360407103,,,,,,,,,,
LAA,0,0,1,0,2,0,0,0,1,4,11,1,360407103,,,,,,,,,,
NYY,0,0,0,0,0,0,0,0,0,0,3,0,360408106,,,,,,,,,,
DET,1,0,0,2,0,0,1,0,-,4,13,0,360408106,,,,,,,,,,
PHI,0,0,0,0,0,1,0,1,0,2,8,1,360408121,,,,,,,,,,
NYM,0,1,0,0,0,2,4,0,-,7,9,1,360408121,,,,,,,,,,
CLE,3,2,0,0,2,0,0,0,0,7,9,0,360408104,,,,,,,,,,
CHW,0,0,0,1,0,0,0,0,0,1,3,1,360408104,,,,,,,,,,
SD,0,0,0,6,3,2,0,0,2,13,18,0,360408127,,,,,,,,,,
COL,0,2,0,3,0,0,0,0,1,6,9,0,360408127,,,,,,,,,,
TB,1,0,0,0,0,0,0,0,0,1,5,0,360408101,,,,,,,,,,
BAL,0,1,0,1,4,0,0,0,-,6,10,0,360408101,,,,,,,,,,
BOS,0,1,1,0,0,4,2,0,0,8,11,0,360408114,,,,,,,,,,
TOR,1,0,0,6,0,0,0,0,0,7,9,1,360408114,,,,,,,,,,
PIT,0,1,0,0,1,0,0,4,0,6,8,3,360408117,,,,,,,,,,
